	Marca	Modello	Anno	Tipo	KIT-W-Kit	FLUSHBAR Argento 	"FLUSHBAR MIX Argento 
W-Flush"	THRUBAR Argento W-Through	RAILBAR Argento W-RailBar	RAILBAR MIX Argento W-RailBarMix	FLUSHBAR Nere WB-Flush	FLUSHBAR MIX Nere WB-FlushMix	THRUBAR Nere WB-Through	RAILBAR Nere WB-RailBar	RAILBAR MIX nere WB-RailBarMix 	Descrizione tetto
19	Audi	A4 Avant - railing	2003-2008	Barre lungitudinali	YK328W			Y8050188		Y8050209			Y8050228		Y8050246	railing standard
20	Audi	A4 Avant (anche tettuccio) - profilo	2008-2015	Profili integrati	YK669W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
21	Audi	A4 Avant - profilo	2015-	Profili integrati	YK669W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
22	Audi	A5 Sportback 5p	2009-2015	Tetto nudo	YK506W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
23	Audi	A5 Sportback 5p	2016-	Tetto nudo	YK707W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
24	Audi	A6 4p	2004-2011	Tetto nudo	YK496W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
25	Audi	A6 4p	2011-2018	Tetto nudo	YK823W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
26	Audi	A6 Allroad - railing	2006-2012	Barre lungitudinali	YK328W			Y8050188		Y8050211			Y8050228		Y8050248	railing standard
27	Audi	A6 Allroad - railing	2012-	Barre lungitudinali	YK328W			Y8050188		Y8050211			Y8050228		Y8050248	railing standard
28	Audi	A6 Avant - profilo	2005-2011	Profili integrati	YK669W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
29	Audi	A6 Avant - profilo	2011-2018	Profili integrati	YK695W	Y8050182		Y8050188			Y8050222		Y8050228			profilo integrato
30	Audi	A7 Sportback	2010-2018	Tetto nudo	YK707W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
31	Audi	A8	2002-2010	Tetto nudo	YK419W	Y8050183		Y8050189			Y8050223		Y8050229			tetto standard
32	Audi	A8	2010-2017	Tetto nudo	YK916W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
33	Audi	Allroad - railing	2000-2006	Barre lungitudinali					Y8050204					Y8050241		railing standard
34	Audi	Q2	2016-	Tetto nudo	YK1047W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
35	Audi	Q3 - profilo	2011-2018	Profili integrati	YK695W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
36	Audi	Q3 - profilo	2019-	Profili integrati	YK1000W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
37	Audi	Q5 - profilo	2008-2017	Profili integrati	YK666W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
38	Audi	Q5 - profilo	2017-	Profili integrati	YK666W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
39	Audi	Q7 - profilo	2006-2015	Profili integrati	YK638W	Y8050182		Y8050189			Y8050222		Y8050229			profilo integrato
40	Audi	Q7 - fixpoint	2015-	Punti fissi	YK958W	Y8050183					Y8050223					tetto fixpoint
41	Bmw	Serie 1 3p (E81) - fixpoint	2007-2012	Punti fissi	YK380W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
42	Bmw	Serie 1 3p (F21) - fixpoint	2012-2019	Punti fissi	YK758W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
43	Bmw	Serie 1 5p (E87) - fixpoint	2004-2011	Punti fissi	YK380W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
44	Bmw	Serie 1 5p (F20) - fixpoint	2011-2019	Punti fissi	YK758W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
45	Bmw	Serie 1 Coupè 2p (E82) - fixpoint	2007-2013	Punti fissi	YK571W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
46	Bmw	Serie 2 Active Tourer (F45)	2014-	Tetto nudo	YK890W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
47	Bmw	Serie 2 Active Tourer (F45) - profilo	2014-	Profili integrati	YK858W	Y8050181		Y8050188			Y8050221		Y8050228			profilo integrato
48	Bmw	Serie 2 Coupè 2p (F22) - fixpoint	2014-	Punti fissi	YK800W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
49	Bmw	Serie 2 Gran Tourer 5p - profilo	2015-	Profili integrati	YK858W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
50	Bmw	Serie 3 4p (E46) - fixpoint	1998-2005	Punti fissi	YK374W	Y8050179		Y8050187			Y8050219		Y8050227			tetto fixpoint
51	Bmw	Serie 3 4p (E90) - fixpoint	2005-2012	Punti fissi	YK380W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
52	Bmw	Serie 3 4p (F30) - fixpoint	2012-2018	Punti fissi	YK571W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
53	Bmw	Serie 3 4p (G20) - fixpoint	2018-	Punti fissi	YK1149W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
54	Bmw	Serie 3 Compact 2p (E46) - fixpoint	2000-2005	Punti fissi	YK374W	Y8050179		Y8050188			Y8050219		Y8050228			tetto fixpoint
55	Bmw	Serie 3 Coupè 2p (E92) - fixpoint	2006-2013	Punti fissi	YK439W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
56	Bmw	Serie 3 Gran Turismo 4p (F34) - fixpoint	2013-	Punti fissi	YK571W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
57	Bmw	Serie 3 Touring (E46) - railing	1999-2005	Barre lungitudinali	YK328W			Y8050188	Y8050202				Y8050228	Y8050239		railing standard
58	Bmw	Serie 3 Touring (E91) - fixpoint	2005-2012	Punti fissi	YK380W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
59	Bmw	Serie 3 Touring (E91) - railing	2005-2008	Barre lungitudinali	YK328W			Y8050188	Y8050204				Y8050228	Y8050241		railing standard
60	Bmw	Serie 3 Touring (F31) - profilo	2012-2019	Profili integrati	YK796W	Y8050181		Y8050188			Y8050221		Y8050228			profilo integrato
61	Bmw	Serie 4 Coupé (F32) - fixpoint	2013-	Punti fissi	YK571W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
62	Bmw	Serie 4 Grand Coupè (F36) - fixpoint	2014-	Punti fissi	YK571W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
63	Bmw	Serie 5 4p (E39) - fixpoint	2000-2003	Punti fissi	YK371W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
64	Bmw	Serie 5 4p (E60)	2003-2009	Tetto nudo	YK705W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
65	Bmw	Serie 5 4p (F10) - fixpoint	2010-2017	Punti fissi	YK821W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
66	Bmw	Serie 5 4p (G30) - fixpoint	2017-	Punti fissi	YK1048W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
67	Bmw	Serie 5 Gran Turismo 4p (F07) - fixpoint	2009-2017	Punti fissi	YK629W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
68	Bmw	Serie 5 Touring (E39) - railing	2000-2004	Barre lungitudinali	YK328W		Y8050194	Y8050187		Y8050209		Y8050233	Y8050227		Y8050246	railing standard
69	Bmw	Serie 5 Touring (E61) - railing	2004-2010	Barre lungitudinali	YK328W			Y8050188	Y8050204				Y8050228	Y8050241		railing standard
70	Bmw	Serie 5 Touring (F11) - profilo	2010-2017	Profili integrati	YK1076W	Y8050180		Y8050188			Y8050220		Y8050228			profilo integrato
71	Bmw	Serie 5 Touring (G31) - profilo	2017-	Profili integrati	YK1076W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
72	Bmw	Serie 7 (G11) - fixpoint	2015-	Punti fissi	YK1048W		Y8050197	Y8050189				Y8050236	Y8050229			tetto fixpoint
73	Bmw	X1 (E84) - profilo	2009-2015	Profili integrati	YK1035W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
74	Bmw	X1 (F48) - profilo	2015-	Profili integrati	YK670W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
75	Bmw	X3 (E83) - railing	2004-2010	Barre lungitudinali	YK328W	Y8050182		Y8050189		Y8050211	Y8050222		Y8050229		Y8050248	railing standard
76	Bmw	X3 (F25) - profilo	2010-2017	Profili integrati	YK670W	Y8050182		Y8050188			Y8050222		Y8050228			profilo integrato
77	Bmw	X3 (G01) - profilo	2017-	Profili integrati	YK796W	Y8050182		Y8050188			Y8050222		Y8050228			profilo integrato
78	Bmw	X4 (F26) - profilo	2014-2018	Profili integrati	YK670W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
79	Bmw	X5 (E53) - railing	2003-2007	Barre lungitudinali	YK328W			Y8050189	Y8050205				Y8050229	Y8050242		railing standard
80	Bmw	X5 (E70) - railing	2007-2013	Barre lungitudinali	YK328W	Y8050182		Y8050189	Y8050205		Y8050222		Y8050229	Y8050242		railing standard
81	Bmw	X5 (E70) (no tettuccio) - railing	2007-2013	Barre lungitudinali					Y8050205					Y8050242		railing standard
82	Bmw	X5 (F15) - profilo	2013-2018	Profili integrati	YK670W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
83	Bmw	X5 (G05) - profilo	2018-	Profili integrati	YK670W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
84	Bmw	X6 - profilo	2019-	Profili integrati	YK796W	Y8050182		Y8050189			Y8050222		Y8050229			profilo integrato
85	Chevrolet	Aveo 4p	2011-2015	Tetto nudo	YK688W		Y8050194	Y8050187				Y8050233	Y8050227			tetto standard
86	Chevrolet	Aveo 5p	2008-2011	Tetto nudo	YK482W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
87	Chevrolet	Captiva	2006-2011	Tetto nudo	YK301W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
88	Chevrolet	Captiva - railing	2006-2015	Barre lungitudinali	YK328W		Y8050195	Y8050188	Y8050203			Y8050234	Y8050228	Y8050240		railing standard
89	Chevrolet	Cruze 5p	2011-2015	Tetto nudo	YK910W		Y8050195					Y8050234				tetto standard
90	Chevrolet	Cruze sw - railing	2012-2015	Barre lungitudinali	YK328W	Y8050180		Y8050187		Y8050209	Y8050220		Y8050227		Y8050246	railing standard
91	Chevrolet	Lacetti 5p	2004-2009	Tetto nudo	YK526W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
92	Chevrolet	Orlando - fixpoint	2011-2015	Punti fissi	YK730W	Y8050182		Y8050189			Y8050222		Y8050229			tetto fixpoint
93	Chevrolet	Spark - railing	2010-2015	Barre lungitudinali	YK328W		Y8050193	Y8050187		Y8050208		Y8050232	Y8050227		Y8050245	railing standard
94	Chevrolet	Trax - railing	2013-2015	Barre lungitudinali					Y8050202					Y8050239		railing standard
95	Chrysler	300C 4p	2005-2010	Tetto nudo	YK392W	Y8050183		Y8050189			Y8050223		Y8050229			tetto standard
96	Chrysler	Grand Voyager - railing	2008-2011	Barre lungitudinali	YK328W	Y8050183		Y8050189			Y8050223		Y8050229			railing standard
97	Chrysler	Pt Cruiser 5p	2000-2010	Tetto nudo	YK158W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
98	Citroen	Berlingo (van) (Passo Lungo)  - fixpoint	2008-2018	Punti fissi	YK559W		Y8050197	Y8050189				Y8050236	Y8050229			tetto fixpoint
99	Citroen	Berlingo (van) - railing	2008-2018	Barre lungitudinali	YK328W	Y8050184		Y8050190		Y8050212	Y8050224		Y8050230		Y8050249	railing standard
100	Citroen	Berlingo Multispace 5p - railing	2008-2018	Barre lungitudinali	YK328W	Y8050184		Y8050190		Y8050212	Y8050224		Y8050230		Y8050249	railing standard
101	Citroen	C3	2002-2009	Tetto nudo	YK382W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
102	Citroen	C3 Aircross - railing	2017-	Barre lungitudinali	YK328W	Y8050181		Y8050188	Y8050203		Y8050221		Y8050228	Y8050240		railing standard
103	Citroen	C3 Classic	2009-2010	Tetto nudo	YK382W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
104	Citroen	C3 Picasso - railing	2009-2012	Barre lungitudinali	YK328W		Y8050195	Y8050188		Y8050210		Y8050234	Y8050228		Y8050247	railing standard
105	Citroen	C3 Picasso - railing	2012-2016	Barre lungitudinali	YK328W	Y8050180		Y8050187	Y8050203		Y8050220		Y8050227	Y8050240		railing standard
106	Citroen	C3 XTR - railing	2004-2008	Barre lungitudinali	YK328W			Y8050188					Y8050228			railing standard
107	Citroen	C4 3p - fixpoint	2005-2010	Punti fissi	YK412W	Y8050179		Y8050187			Y8050219		Y8050227			tetto fixpoint
108	Citroen	C4 5p - fixpoint	2005-2010	Punti fissi	YK412W	Y8050179		Y8050187			Y8050219		Y8050227			tetto fixpoint
109	Citroen	C4 5p	2010-2018	Tetto nudo	YK726W	Y8050179		Y8050188			Y8050219		Y8050228			tetto standard
110	Citroen	C4 Aircross - fixpoint	2012-2017	Punti fissi	YK602W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
111	Citroen	C4 Aircross - profilo	2012-2017	Profili integrati	YK508W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
112	Citroen	C4 Cactus - railing	2014-	Barre lungitudinali					Y8050202					Y8050239		railing standard
113	Citroen	C4 Grand Picasso - railing	2006-2013	Barre lungitudinali	YK328W			Y8050189		Y8050211			Y8050229		Y8050248	railing standard
114	Citroen	C4 Grand Picasso - profilo	2013-2018	Profili integrati	YK774W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
115	Citroen	C4 Picasso - fixpoint	2007-2013	Punti fissi	YK412W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
116	Citroen	C4 Picasso - railing	2007-2013	Barre lungitudinali	YK328W		Y8050197	Y8050189				Y8050236	Y8050229			railing standard
117	Citroen	C4 Picasso	2013-2018	Tetto nudo	YK717W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
118	Citroen	C4 Spacetourer	2018-	Tetto nudo	YK717W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
119	Citroen	C5 4p - fixpoint	2001-2008	Punti fissi	YK431W	Y8050178		Y8050187			Y8050218		Y8050227			tetto fixpoint
120	Citroen	C5 4p - fixpoint	2008-2017	Punti fissi	YK513W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
121	Citroen	C5 Aircross - railing	2018-	Barre lungitudinali	YK328W	Y8050181		Y8050188	Y8050203		Y8050221		Y8050228	Y8050240		railing standard
122	Citroen	C5 sw - railing	2001-2008	Barre lungitudinali	YK328W			Y8050187		Y8050208			Y8050227		Y8050245	railing standard
123	Citroen	C5 Tourer - railing	2008-2017	Barre lungitudinali	YK328W		Y8050195	Y8050188				Y8050234	Y8050228			railing standard
124	Citroen	DS4	2011-2018	Tetto nudo	YK756W		Y8050195	Y8050187				Y8050234	Y8050227			tetto standard
125	Citroen	DS5 (anche tetto vetro)	2011-2018	Tetto nudo	YK742W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
126	Citroen	DS7 Crossback (anche tetto vetro) - profilo	2017-	Profili integrati	YK1080W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
127	Citroen	Grand C4 Spacetourer - profilo	2018-	Profili integrati	YK774W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
128	Citroen	Jumpy (van) - fixpoint	2007-2016	Punti fissi	YK462W	Y8050185		Y8050190			Y8050225		Y8050230			tetto fixpoint
129	Citroen	Nemo 5p - fixpoint	2008-2014	Punti fissi	YK947W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
130	Citroen	Nemo 5p - railing	2008-2014	Barre lungitudinali	YK328W		Y8050198	Y8050189	Y8050206			Y8050237	Y8050229	Y8050243		railing standard
131	Citroen	Nemo Van - fixpoint	2008-2014	Punti fissi	YK947W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
132	Citroen	Nemo Van - railing	2008-2014	Barre lungitudinali	YK328W		Y8050198	Y8050189	Y8050206			Y8050237	Y8050229	Y8050243		railing standard
133	Citroen	Xsara Picasso - fixpoint	2000-2010	Punti fissi	YK369W	Y8050178		Y8050187			Y8050218		Y8050227			tetto fixpoint
134	Dacia	Dokker - railing	2012-	Barre lungitudinali	YK328W	Y8050180		Y8050188	Y8050202		Y8050220		Y8050228	Y8050239		railing standard
135	Dacia	Dokker Stepway - railing	2012-	Barre lungitudinali	YK328W	Y8050180		Y8050188	Y8050202		Y8050220		Y8050228	Y8050239		railing standard
136	Dacia	Dokker Van - railing	2012-	Barre lungitudinali	YK328W	Y8050180		Y8050188	Y8050202		Y8050220		Y8050228	Y8050239		railing standard
137	Dacia	Duster - railing	2010-2012	Barre lungitudinali					Y8050203					Y8050240		railing standard
138	Dacia	Lodgy - profilo	2012-	Profili integrati	YK809W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
139	Dacia	Logan MCV 5p - railing	2007-2013	Barre lungitudinali	YK328W	Y8050178		Y8050187	Y8050201		Y8050218		Y8050227	Y8050238		railing standard
140	Dacia	Logan MCV 5p - railing	2013-	Barre lungitudinali	YK328W	Y8050180		Y8050188		Y8050209	Y8050220		Y8050228		Y8050246	railing standard
141	Dacia	Sandero Stepway - railing	2009-2012	Barre lungitudinali					Y8050202					Y8050239		railing standard
142	Dacia	Sandero Stepway - railing	2013-	Barre lungitudinali	YK328W		Y8050194	Y8050188	Y8050202			Y8050233	Y8050228	Y8050239		railing standard
143	Daihatsu	Materia	2007-2011	Tetto nudo	YK405W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
144	Daihatsu	Sirion	2005-2011	Tetto nudo	YK406W	Y8050180		Y8050187			Y8050220		Y8050227			tetto standard
145	Daihatsu	Terios	2006-2013	Tetto nudo	YK403W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
146	Daihatsu	Terios - railing	2006-2013	Barre lungitudinali	YK328W			Y8050188		Y8050210			Y8050228		Y8050247	railing standard
147	Dodge	Avenger	2008-2011	Tetto nudo	YK478W	Y8050182		Y8050189			Y8050222		Y8050229			tetto standard
148	Dodge	Caliber	2006-2011	Tetto nudo	YK384W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
149	Dodge	Journey	2008-2010	Tetto nudo	YK982W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
150	Dodge	Journey - railing	2008-2010	Barre lungitudinali	YK328W		Y8050196	Y8050189	Y8050205			Y8050235	Y8050229	Y8050242		railing standard
151	Fiat	500X - profilo	2015-	Profili integrati	YK913W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
152	Fiat	Doblò 5p - fixpoint	2000-2009	Punti fissi	YK337W	Y8050182		Y8050189			Y8050222		Y8050229			tetto fixpoint
153	Fiat	Doblò 5p - fixpoint	2010-2020	Punti fissi	YK500W	Y8050183		Y8050189			Y8050223		Y8050229			tetto fixpoint
154	Fiat	Doblò 5p - railing	2010-2020	Barre lungitudinali					Y8050206					Y8050243		railing standard
155	Fiat	Doblò Cargo - fixpoint	2000-2009	Punti fissi	YK337W	Y8050182		Y8050189			Y8050222		Y8050229			tetto fixpoint
156	Fiat	Doblò Cargo - fixpoint	2010-	Punti fissi	YK500W	Y8050183		Y8050189			Y8050223		Y8050229			tetto fixpoint
157	Fiat	Doblò Cargo - railing	2010-	Barre lungitudinali					Y8050206					Y8050243		railing standard
158	Fiat	Fiorino (van) - fixpoint	2008-	Punti fissi	YK947W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
159	Fiat	Fiorino (van) - railing	2008-	Barre lungitudinali	YK328W		Y8050198	Y8050189				Y8050237	Y8050229			railing standard
160	Fiat	Freemont	2011-2016	Tetto nudo	YK982W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
161	Fiat	Freemont - railing	2011-2016	Barre lungitudinali	YK328W		Y8050196	Y8050189	Y8050204			Y8050235	Y8050229	Y8050241		railing standard
162	Fiat	Grande Punto 5p	2005-2012	Tetto nudo	YK926W		Y8050193	Y8050187				Y8050232	Y8050227			tetto standard
163	Fiat	Panda - fixpoint	2003-2012	Punti fissi	YK618W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
164	Fiat	Panda - railing	2003-2012	Barre lungitudinali	YK328W	Y8050182		Y8050188		Y8050211	Y8050222		Y8050228		Y8050248	railing standard
165	Fiat	Panda - fixpoint	2012-	Punti fissi	YK618W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
166	Fiat	Panda - profilo	2012-	Profili integrati	YK837W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
167	Fiat	Panda 4x4 - fixpoint	2004-2013	Punti fissi	YK618W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
168	Fiat	Panda 4x4 - railing	2004-2013	Barre lungitudinali	YK328W	Y8050182		Y8050188		Y8050211	Y8050222		Y8050228		Y8050248	railing standard
169	Fiat	Panda 4x4 - fixpoint	2012-	Punti fissi	YK618W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
170	Fiat	Panda 4x4 - profilo	2012-	Profili integrati	YK837W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
171	Fiat	Panda City Cross - fixpoint	2014-	Punti fissi	YK618W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
172	Fiat	Panda Classic - fixpoint	2012-2012	Punti fissi	YK618W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
173	Fiat	Panda Classic - railing	2012-2012	Barre lungitudinali	YK328W	Y8050182		Y8050188		Y8050211	Y8050222		Y8050228		Y8050248	railing standard
174	Fiat	Panda Van - fixpoint	2003-2012	Punti fissi	YK618W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
175	Fiat	Panda Van - railing	2003-2012	Barre lungitudinali	YK328W	Y8050182		Y8050188		Y8050211	Y8050222		Y8050228		Y8050248	railing standard
176	Fiat	Panda Van - fixpoint	2013-	Punti fissi	YK618W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
177	Fiat	Panda Van - profilo	2013-	Profili integrati	YK837W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
178	Fiat	Punto 5p - fixpoint	1999-2003	Punti fissi	YK417W	Y8050179		Y8050187			Y8050219		Y8050227			tetto fixpoint
179	Fiat	Punto 5p	2012-2019	Tetto nudo	YK926W		Y8050193	Y8050187				Y8050232	Y8050227			tetto standard
180	Fiat	Punto Evo 5p	2009-2012	Tetto nudo	YK926W		Y8050193	Y8050187				Y8050232	Y8050227			tetto standard
181	Fiat	Qubo 5p - fixpoint	2008-2020	Punti fissi	YK947W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
182	Fiat	Qubo 5p - railing	2008-2020	Barre lungitudinali	YK328W		Y8050198	Y8050189				Y8050237	Y8050229			railing standard
183	Fiat	Scudo (van) - fixpoint	2007-2016	Punti fissi	YK462W	Y8050185		Y8050190			Y8050225		Y8050230			tetto fixpoint
184	Fiat	Sedici - fixpoint	2006-2015	Punti fissi	YK331W	Y8050178		Y8050187			Y8050218		Y8050227			tetto fixpoint
185	Fiat	Sedici - railing	2006-2015	Barre lungitudinali	YK328W	Y8050181		Y8050188	Y8050204		Y8050221		Y8050228	Y8050241		railing standard
186	Fiat	Stilo 5p - fixpoint	2002-2007	Punti fissi	YK618W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
187	Fiat	Stilo Multiwagon - railing	2002-2008	Barre lungitudinali	YK328W			Y8050188					Y8050228			railing standard
188	Fiat	Talento (van) - fixpoint	2016-	Punti fissi	YK928W			Y8050190					Y8050230			tetto fixpoint
189	Fiat	Tipo 4p	2015-	Tetto nudo	YK1024W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
190	Fiat	Tipo 5p	2016-	Tetto nudo	YK1024W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
191	Fiat	Tipo sw - profilo	2016-	Profili integrati	YK1062W		Y8050193	Y8050187				Y8050232	Y8050227			profilo integrato
192	Ford	C-Max - fixpoint	2003-2010	Punti fissi	YK378W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
193	Ford	C-Max (anche tetto vetro)	2010-2020	Tetto nudo	YK740W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
194	Ford	C-Max 7 - railing	2010-2020	Barre lungitudinali	YK328W		Y8050196	Y8050189		Y8050210		Y8050235	Y8050229		Y8050247	railing standard
