,,,,KIT,FLUSHBAR,FLUSHBAR MIX,THRUBAR,RAILBAR,RAILBAR MIX,FLUSHBAR,FLUSHBAR MIX,THRUBAR,RAILBAR,RAILBAR MIX,,Descrizione tetto
Audi,A6 4p,09/04>03/11,Tetto nudo,YK496W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A6 4p,04/11>06/18,Tetto nudo,YK823W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A6 Allroad - railing,06/06>02/12,Barre lungitudinali,YK328W,,,Y8050188,,Y8050211,,,Y8050228,,Y8050248,,railing standard
Audi,A6 Allroad - railing,03/12>,Barre lungitudinali,YK328W,,,Y8050188,,Y8050211,,,Y8050228,,Y8050248,,railing standard
Audi,A6 Avant - profilo,03/05>08/11,Profili integrati,YK669W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,A6 Avant - profilo,09/11>07/18,Profili integrati,YK695W,Y8050182,,Y8050188,,,Y8050222,,Y8050228,,,,profilo integrato
Audi,A7 Sportback,10/10>03/18,Tetto nudo,YK707W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,tetto standard
Audi,A8,11/02>02/10,Tetto nudo,YK419W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,,tetto standard
Audi,A8,03/10>11/17,Tetto nudo,YK916W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,tetto standard
Audi,Allroad - railing,06/00>05/06,Barre lungitudinali,,,,,Y8050204,,,,,Y8050241,,,railing standard
Audi,Q2,11/16>,Tetto nudo,YK1047W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,,tetto standard
Audi,Q3 - profilo,10/11>12/18,Profili integrati,YK695W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,Q3 - profilo,01/19>,Profili integrati,YK1000W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,profilo integrato
Audi,Q5 - profilo,11/08>02/17,Profili integrati,YK666W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,,profilo integrato
Audi,Q5 - profilo,03/17>,Profili integrati,YK666W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,Q7 - profilo,03/06>05/15,Profili integrati,YK638W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,,profilo integrato
